0x4D, 0x5A, 0x90, 0x00, 0x03, 0x00, 0x00, 0x00, 0x04, 0x00, 0x00, 0x00, 0xFF, 0xFF, 0x00, 0x00,
0x40, 0xF6, 0xC6, 0x04, 0x74, 0x12, 0x41, 0x83, 0x48, 0x21, 0x08, 0x41, 0x0F, 0xB7, 0x01, 0x49,
0x83, 0xC1, 0x02, 0x66, 0x41, 0x89, 0x40, 0x15, 0x40, 0xF6, 0xC6, 0x02, 0x74, 0x10, 0x41, 0x83,
0x48, 0x21, 0x04, 0x41, 0x0F, 0xB6, 0x01, 0x49, 0xFF, 0xC1, 0x41, 0x88, 0x40, 0x15, 0x40, 0xF6,
0xC6, 0x40, 0x74, 0x15, 0x41, 0x81, 0x48, 0x21, 0x10, 0x02, 0x00, 0x00, 0x41, 0x8B, 0x01, 0x49,
0x83, 0xC1, 0x04, 0x41, 0x89, 0x40, 0x15, 0xEB, 0x19, 0x40, 0xF6, 0xC6, 0x20, 0x74, 0x13, 0x41,
0x81, 0x48, 0x21, 0x04, 0x02, 0x00, 0x00, 0x41, 0x0F, 0xB6, 0x01, 0x49, 0xFF, 0xC1, 0x41, 0x88,
0x40, 0x15, 0x48, 0x8B, 0x74, 0x24, 0x30, 0x45, 0x2A, 0xCD, 0x4C, 0x8B, 0x6C, 0x24, 0x18, 0x48,
0x8B, 0x6C, 0x24, 0x38, 0x45, 0x88, 0x08, 0x41, 0x80, 0xF9, 0x0F, 0x76, 0x16, 0x41, 0x81, 0x48,
0x21, 0x00, 0x50, 0x00, 0x00, 0xB0, 0x0F, 0x0F, 0xB6, 0xC0, 0x41, 0xC6, 0x00, 0x0F, 0x48, 0x83,
0xC4, 0x48, 0xC3, 0x41, 0x0F, 0xB6, 0xC1, 0x48, 0x83, 0xC4, 0x48, 0xC3, 0xA1, 0x10, 0x00, 0x00,
0xA9, 0x10, 0x00, 0x00, 0xB1, 0x10, 0x00, 0x00, 0x99, 0x10, 0x00, 0x00, 0x91, 0x10, 0x00, 0x00,
0x89, 0x10, 0x00, 0x00, 0xBF, 0x10, 0x00, 0x00, 0x00, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06,
0x00, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x00, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06,
0x00, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06,
0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06,
0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x00, 0x00, 0x01, 0x02, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06,
0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06,
0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06,
0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06,
0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06,
0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06,
0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06,
0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06,
0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06, 0x06,
0x06, 0x06, 0x03, 0x06, 0x04, 0x05, 0xCC, 0xCC, 0xCC, 0xCC, 0xCC, 0xCC, 0xCC, 0xCC, 0xCC, 0xCC,
0x48, 0x8B, 0xC4, 0x48, 0x89, 0x48, 0x08, 0x48, 0x89, 0x50, 0x10, 0x4C, 0x89, 0x40, 0x18, 0x4C,
0x89, 0x48, 0x20, 0x48, 0x81, 0xEC, 0x48, 0x04, 0x00, 0x00, 0x4C, 0x8B, 0xC1, 0x4C, 0x8D, 0x48,
0x10, 0x48, 0x8D, 0x4C, 0x24, 0x40, 0xBA, 0x00, 0x02, 0x00, 0x00, 0xFF, 0x15, 0xEF, 0x28, 0x00,
0x00, 0x4C, 0x8D, 0x4C, 0x24, 0x30, 0x48, 0xC7, 0x44, 0x24, 0x20, 0x00, 0x00, 0x00, 0x00, 0x89,
0x44, 0x24, 0x30, 0x48, 0x8D, 0x54, 0x24, 0x40, 0x65, 0x48, 0x8B, 0x04, 0x25, 0x30, 0x00, 0x00,
0x00, 0x44, 0x8B, 0x44, 0x24, 0x30, 0x48, 0x8B, 0x48, 0x60, 0x48, 0x8B, 0x49, 0x20, 0x48, 0x8B,
0x49, 0x28, 0xFF, 0x15, 0xD0, 0x27, 0x00, 0x00, 0x48, 0x81, 0xC4, 0x48, 0x04, 0x00, 0x00, 0xC3,
0x40, 0x53, 0x48, 0x83, 0xEC, 0x30, 0x48, 0x8B, 0xDA, 0x83, 0xF9, 0x03, 0x75, 0x2D, 0x48, 0x8B,
0x52, 0x10, 0x48, 0x8B, 0x4B, 0x08, 0xE8, 0x15, 0x10, 0x00, 0x00, 0x8B, 0xD8, 0x85, 0xC0, 0x0F,
0x89, 0x35, 0x01, 0x00, 0x00, 0x8B, 0xD0, 0x48, 0x8D, 0x0D, 0xA2, 0x28, 0x00, 0x00, 0xE8, 0x5D,
0xFF, 0xFF, 0xFF, 0x8B, 0xC3, 0x48, 0x83, 0xC4, 0x30, 0x5B, 0xC3, 0x83, 0xF9, 0x02, 0x0F, 0x85,
0x37, 0x01, 0x00, 0x00, 0x48, 0x8B, 0x5A, 0x08, 0x4C, 0x8D, 0x4C, 0x24, 0x40, 0x45, 0x33, 0xC0,
0x48, 0x89, 0x7C, 0x24, 0x50, 0xB2, 0x01, 0x41, 0x8D, 0x48, 0x0A, 0xFF, 0x15, 0x07, 0x28, 0x00,
0x00, 0x8B, 0xF8, 0x85, 0xC0, 0x0F, 0x88, 0xD8, 0x00, 0x00, 0x00, 0xBF, 0x34, 0x00, 0x00, 0x00,
0x48, 0x89, 0x74, 0x24, 0x48, 0x48, 0x8D, 0x35, 0x64, 0x49, 0x00, 0x00, 0x4C, 0x8D, 0x05, 0x3D,
0x2A, 0x00, 0x00, 0x48, 0x8B, 0xCE, 0x8D, 0x57, 0x01, 0xFF, 0x15, 0xB9, 0x27, 0x00, 0x00, 0x0F,
0xB7, 0x0B, 0x48, 0x8B, 0xD3, 0x66, 0x85, 0xC9, 0x74, 0x51, 0x66, 0x0F, 0x1F, 0x44, 0x00, 0x00,
0x48, 0x83, 0xC2, 0x02, 0x66, 0x83, 0xF9, 0x5C, 0x48, 0x8B, 0xC2, 0x48, 0x0F, 0x45, 0xC3, 0x0F,
0xB7, 0x0A, 0x48, 0x8B, 0xD8, 0x66, 0x85, 0xC9, 0x75, 0xE6, 0x0F, 0xB7, 0x08, 0x66, 0x85, 0xC9,
0x74, 0x29, 0x48, 0x8D, 0x05, 0x7F, 0x49, 0x00, 0x00, 0x0F, 0x1F, 0x80, 0x00, 0x00, 0x00, 0x00,
0x66, 0x83, 0xF9, 0x2E, 0x74, 0x15, 0x48, 0x83, 0xC3, 0x02, 0x66, 0x89, 0x08, 0xFF, 0xC7, 0x48,
0x83, 0xC0, 0x02, 0x0F, 0xB7, 0x0B, 0x66, 0x85, 0xC9, 0x75, 0xE5, 0x33, 0xC9, 0x48, 0x63, 0xC7,
0x48, 0x8B, 0xD6, 0x66, 0x89, 0x0C, 0x46, 0x48, 0x8D, 0x4C, 0x24, 0x20, 0xFF, 0x15, 0x3E, 0x27,
0x00, 0x00, 0x48, 0x8D, 0x4C, 0x24, 0x20, 0xFF, 0x15, 0x1B, 0x27, 0x00, 0x00, 0x48, 0x8B, 0x74,
0x24, 0x48, 0x8B, 0xF8, 0x85, 0xC0, 0x78, 0x14, 0x48, 0x8D, 0x15, 0xE5, 0x48, 0x00, 0x00, 0x48,
0xC7, 0xC1, 0x02, 0x00, 0x00, 0x80, 0xFF, 0x15, 0xAC, 0x26, 0x00, 0x00, 0x0F, 0xB6, 0x54, 0x24,
0x40, 0x4C, 0x8D, 0x4C, 0x24, 0x40, 0x45, 0x33, 0xC0, 0x41, 0x8D, 0x48, 0x0A, 0xFF, 0x15, 0x25,
0x27, 0x00, 0x00, 0x85, 0xFF, 0x78, 0x19, 0x48, 0x8D, 0x0D, 0xBA, 0x27, 0x00, 0x00, 0xE8, 0x3D,
0xFE, 0xFF, 0xFF, 0x8B, 0xC7, 0x48, 0x8B, 0x7C, 0x24, 0x50, 0x48, 0x83, 0xC4, 0x30, 0x5B, 0xC3,
0x8B, 0xD7, 0x48, 0x8D, 0x0D, 0xDF, 0x27, 0x00, 0x00, 0xE8, 0x22, 0xFE, 0xFF, 0xFF, 0x8B, 0xC7,
0x48, 0x8B, 0x7C, 0x24, 0x50, 0x48, 0x83, 0xC4, 0x30, 0x5B, 0xC3, 0x48, 0x83, 0xC4, 0x30, 0x5B,
0xE9, 0x1B, 0x12, 0x00, 0x00, 0xCC, 0xCC, 0xCC, 0xCC, 0xCC, 0xCC, 0xCC, 0xCC, 0xCC, 0xCC, 0xCC,
0x48, 0x89, 0x5C, 0x24, 0x08, 0x48, 0x89, 0x6C, 0x24, 0x10, 0x48, 0x89, 0x74, 0x24, 0x18, 0x48,
0x89, 0x7C, 0x24, 0x20, 0x4C, 0x8B, 0x5C, 0x24, 0x28, 0x33, 0xED, 0x41, 0xC7, 0x01, 0x01, 0x00,
0x00, 0x00, 0x49, 0x8B, 0xF9, 0x48, 0x8B, 0xDA, 0x4C, 0x8B, 0xD1, 0x41, 0x89, 0x2B, 0x48, 0x85,
0xD2, 0x74, 0x07, 0x4C, 0x89, 0x02, 0x48, 0x83, 0xC3, 0x08, 0x32, 0xD2, 0x41, 0xB9, 0x22, 0x00,
0x00, 0x00, 0x41, 0x0F, 0xB7, 0x02, 0x66, 0x41, 0x3B, 0xC1, 0x75, 0x0F, 0x84, 0xD2, 0x49, 0x8D,
0x4A, 0x02, 0x41, 0x0F, 0xB7, 0xC1, 0x0F, 0x94, 0xC2, 0xEB, 0x1D, 0x41, 0xFF, 0x03, 0x4D, 0x85,
0xC0, 0x74, 0x0C, 0x66, 0x41, 0x89, 0x00, 0x49, 0x83, 0xC0, 0x02, 0x41, 0x0F, 0xB7, 0x02, 0x49,
0x8D, 0x4A, 0x02, 0x66, 0x85, 0xC0, 0x74, 0x1F, 0x4C, 0x8B, 0xD1, 0x84, 0xD2, 0x75, 0xC3, 0x66,
0x83, 0xF8, 0x20, 0x74, 0x06, 0x66, 0x83, 0xF8, 0x09, 0x75, 0xB7, 0x4D, 0x85, 0xC0, 0x74, 0x0B,
0x66, 0x41, 0x89, 0x68, 0xFE, 0xEB, 0x04, 0x48, 0x83, 0xC1, 0xFE, 0x45, 0x32, 0xD2, 0xBE, 0x5C,
0x00, 0x00, 0x00, 0x0F, 0xB7, 0x01, 0x66, 0x85, 0xC0, 0x0F, 0x84, 0xE9, 0x00, 0x00, 0x00, 0x90,
0x66, 0x83, 0xF8, 0x20, 0x74, 0x06, 0x66, 0x83, 0xF8, 0x09, 0x75, 0x0A, 0x0F, 0xB7, 0x41, 0x02,
0x48, 0x83, 0xC1, 0x02, 0xEB, 0xEA, 0x66, 0x85, 0xC0, 0x0F, 0x84, 0xC9, 0x00, 0x00, 0x00, 0x48,
0x85, 0xDB, 0x74, 0x07, 0x4C, 0x89, 0x03, 0x48, 0x83, 0xC3, 0x08, 0xFF, 0x07, 0x0F, 0x1F, 0x00,
0x0F, 0xB7, 0x11, 0x41, 0xB1, 0x01, 0x8B, 0xC5, 0x66, 0x3B, 0xD6, 0x75, 0x12, 0x0F, 0x1F, 0x00,
0x0F, 0xB7, 0x51, 0x02, 0x48, 0x83, 0xC1, 0x02, 0xFF, 0xC0, 0x66, 0x3B, 0xD6, 0x74, 0xF1, 0x66,
0x83, 0xFA, 0x22, 0x75, 0x21, 0xA8, 0x01, 0x75, 0x1B, 0x45, 0x84, 0xD2, 0x74, 0x0C, 0x66, 0x39,
0x51, 0x02, 0x75, 0x06, 0x48, 0x83, 0xC1, 0x02, 0xEB, 0x0A, 0x45, 0x32, 0xC9, 0x45, 0x84, 0xD2,
0x41, 0x0F, 0x94, 0xC2, 0xD1, 0xE8, 0x41, 0x8B, 0x13, 0x85, 0xC0, 0x74, 0x16, 0x03, 0xD0, 0x90,
0xFF, 0xC8, 0x4D, 0x85, 0xC0, 0x74, 0x08, 0x66, 0x41, 0x89, 0x30, 0x49, 0x83, 0xC0, 0x02, 0x85,
0xC0, 0x75, 0xED, 0x0F, 0xB7, 0x01, 0x41, 0x89, 0x13, 0x66, 0x85, 0xC0, 0x74, 0x32, 0x45, 0x84,
0xD2, 0x75, 0x0C, 0x66, 0x83, 0xF8, 0x20, 0x74, 0x27, 0x66, 0x83, 0xF8, 0x09, 0x74, 0x21, 0x45,
0x84, 0xC9, 0x74, 0x13, 0x4D, 0x85, 0xC0, 0x74, 0x08, 0x66, 0x41, 0x89, 0x00, 0x49, 0x83, 0xC0,
0x02, 0x8D, 0x42, 0x01, 0x41, 0x89, 0x03, 0x48, 0x83, 0xC1, 0x02, 0xE9, 0x60, 0xFF, 0xFF, 0xFF,
0x4D, 0x85, 0xC0, 0x74, 0x08, 0x66, 0x41, 0x89, 0x28, 0x49, 0x83, 0xC0, 0x02, 0x8D, 0x42, 0x01,
0x41, 0x89, 0x03, 0xE9, 0x0B, 0xFF, 0xFF, 0xFF, 0x48, 0x8B, 0x5C, 0x24, 0x08, 0x48, 0x8B, 0x6C,
0x24, 0x10, 0x48, 0x8B, 0x74, 0x24, 0x18, 0x48, 0x8B, 0x7C, 0x24, 0x20, 0xC3, 0xCC, 0xCC, 0xCC,
0x48, 0x89, 0x5C, 0x24, 0x18, 0x48, 0x89, 0x74, 0x24, 0x20, 0x48, 0x89, 0x4C, 0x24, 0x08, 0x57,
0x48, 0x83, 0xEC, 0x30, 0x65, 0x48, 0x8B, 0x04, 0x25, 0x30, 0x00, 0x00, 0x00, 0x48, 0x8B, 0x48,
0x60, 0x48, 0x8B, 0x49, 0x20, 0xFF, 0x15, 0x2D, 0x25, 0x00, 0x00, 0x48, 0x8B, 0x58, 0x78, 0x48,
0x85, 0xDB, 0x74, 0x06, 0x66, 0x83, 0x3B, 0x00, 0x75, 0x04, 0x48, 0x8B, 0x58, 0x68, 0x48, 0x8D,
0x44, 0x24, 0x48, 0x45, 0x33, 0xC0, 0x4C, 0x8D, 0x4C, 0x24, 0x40, 0x48, 0x89, 0x44, 0x24, 0x20,
0x33, 0xD2, 0x48, 0x8B, 0xCB, 0xE8, 0xF6, 0xFD, 0xFF, 0xFF, 0x65, 0x48, 0x8B, 0x04, 0x25, 0x30,
0x00, 0x00, 0x00, 0x8B, 0x74, 0x24, 0x40, 0x48, 0x8B, 0x48, 0x60, 0x8B, 0x44, 0x24, 0x48, 0x8D,
0x14, 0xF5, 0x08, 0x00, 0x00, 0x00, 0x48, 0x8B, 0x49, 0x30, 0x4C, 0x8D, 0x04, 0x42, 0xBA, 0x08,
0x00, 0x00, 0x00, 0xFF, 0x15, 0xD7, 0x24, 0x00, 0x00, 0x48, 0x8B, 0xF8, 0x48, 0x85, 0xC0, 0x75,
0x07, 0xBA, 0x17, 0x00, 0x00, 0xC0, 0xEB, 0x2F, 0x8D, 0x46, 0x01, 0x48, 0x8B, 0xD7, 0x4C, 0x8D,
0x04, 0xC7, 0x48, 0x8B, 0xCB, 0x48, 0x8D, 0x44, 0x24, 0x48, 0x4C, 0x8D, 0x4C, 0x24, 0x40, 0x48,
0x89, 0x44, 0x24, 0x20, 0xE8, 0x97, 0xFD, 0xFF, 0xFF, 0x8B, 0x4C, 0x24, 0x40, 0x48, 0x8B, 0xD7,
0xE8, 0xFB, 0xFB, 0xFF, 0xFF, 0x8B, 0xD0, 0x48, 0xC7, 0xC1, 0xFF, 0xFF, 0xFF, 0xFF, 0x48, 0x8B,
0x5C, 0x24, 0x50, 0x48, 0x8B, 0x74, 0x24, 0x58, 0x48, 0x83, 0xC4, 0x30, 0x5F, 0x48, 0xFF, 0x25,
0x6C, 0x24, 0x00, 0x00, 0xCC, 0xCC, 0xCC, 0xCC, 0xCC, 0xCC, 0xCC, 0xCC, 0xCC, 0xCC, 0xCC, 0xCC,
0x48, 0x8B, 0xC4, 0x56, 0x41, 0x56, 0x48, 0x81, 0xEC, 0x58, 0x01, 0x00, 0x00, 0x4C, 0x8B, 0xF2,
0x48, 0xC7, 0x02, 0x00, 0x00, 0x00, 0x00, 0x33, 0xD2, 0xC7, 0x40, 0x10, 0x00, 0x00, 0x00, 0x00,
0x48, 0x8B, 0xF1, 0x4C, 0x8D, 0x48, 0x10, 0x45, 0x33, 0xC0, 0x8D, 0x4A, 0x0B, 0xFF, 0x15, 0xBD,
0x23, 0x00, 0x00, 0x3D, 0x04, 0x00, 0x00, 0xC0, 0x0F, 0x85, 0x61, 0x01, 0x00, 0x00, 0x65, 0x48,
0x8B, 0x04, 0x25, 0x30, 0x00, 0x00, 0x00, 0x44, 0x8B, 0x84, 0x24, 0x78, 0x01, 0x00, 0x00, 0x48,
0x89, 0xAC, 0x24, 0x80, 0x01, 0x00, 0x00, 0x4D, 0x03, 0xC0, 0x48, 0x89, 0xBC, 0x24, 0x50, 0x01,
0x00, 0x00, 0x48, 0x8B, 0x50, 0x60, 0x48, 0x8B, 0x4A, 0x30, 0xBA, 0x08, 0x00, 0x00, 0x00, 0xFF,
0x15, 0xFB, 0x23, 0x00, 0x00, 0x44, 0x8B, 0x84, 0x24, 0x78, 0x01, 0x00, 0x00, 0x45, 0x33, 0xC9,
0x45, 0x03, 0xC0, 0x48, 0x8B, 0xD0, 0x48, 0x8B, 0xF8, 0x41, 0x8D, 0x49, 0x0B, 0xFF, 0x15, 0x5D,
0x23, 0x00, 0x00, 0x8B, 0xE8, 0x85, 0xC0, 0x0F, 0x88, 0xD4, 0x00, 0x00, 0x00, 0x48, 0x89, 0x9C,
0x24, 0x70, 0x01, 0x00, 0x00, 0x33, 0xDB, 0x39, 0x1F, 0x0F, 0x86, 0xBA, 0x00, 0x00, 0x00, 0x90,
0x8B, 0xCB, 0x48, 0x8D, 0x44, 0x24, 0x20, 0x48, 0x69, 0xD1, 0x28, 0x01, 0x00, 0x00, 0x48, 0x8D,
0x4F, 0x08, 0x48, 0x03, 0xCA, 0xBA, 0x02, 0x00, 0x00, 0x00, 0x66, 0x0F, 0x1F, 0x44, 0x00, 0x00,
0x48, 0x8D, 0x80, 0x80, 0x00, 0x00, 0x00, 0x0F, 0x10, 0x01, 0x0F, 0x10, 0x49, 0x10, 0x48, 0x8D,
0x89, 0x80, 0x00, 0x00, 0x00, 0x0F, 0x11, 0x40, 0x80, 0x0F, 0x10, 0x41, 0xA0, 0x0F, 0x11, 0x48,
0x90, 0x0F, 0x10, 0x49, 0xB0, 0x0F, 0x11, 0x40, 0xA0, 0x0F, 0x10, 0x41, 0xC0, 0x0F, 0x11, 0x48,
0xB0, 0x0F, 0x10, 0x49, 0xD0, 0x0F, 0x11, 0x40, 0xC0, 0x0F, 0x10, 0x41, 0xE0, 0x0F, 0x11, 0x48,
0xD0, 0x0F, 0x10, 0x49, 0xF0, 0x0F, 0x11, 0x40, 0xE0, 0x0F, 0x11, 0x48, 0xF0, 0x48, 0x83, 0xEA,
0x01, 0x75, 0xAD, 0x0F, 0x10, 0x01, 0x48, 0x8D, 0x54, 0x24, 0x48, 0x0F, 0x10, 0x49, 0x10, 0x48,
0x8B, 0x49, 0x20, 0x0F, 0x11, 0x00, 0x0F, 0x11, 0x48, 0x10, 0x48, 0x89, 0x48, 0x20, 0x48, 0x8B,
0xCE, 0x0F, 0xB7, 0x44, 0x24, 0x46, 0x48, 0x03, 0xD0, 0xFF, 0x15, 0xF1, 0x22, 0x00, 0x00, 0x85,
0xC0, 0x74, 0x0C, 0xFF, 0xC3, 0x3B, 0x1F, 0x0F, 0x82, 0x53, 0xFF, 0xFF, 0xFF, 0xEB, 0x0A, 0x48,
0x8B, 0x44, 0x24, 0x30, 0x33, 0xED, 0x49, 0x89, 0x06, 0x48, 0x8B, 0x9C, 0x24, 0x70, 0x01, 0x00,
0x00, 0x65, 0x48, 0x8B, 0x04, 0x25, 0x30, 0x00, 0x00, 0x00, 0x4C, 0x8B, 0xC7, 0x33, 0xD2, 0x48,
0x8B, 0x48, 0x60, 0x48, 0x8B, 0x49, 0x30, 0xFF, 0x15, 0x43, 0x22, 0x00, 0x00, 0x48, 0x8B, 0xBC,
0x24, 0x50, 0x01, 0x00, 0x00, 0x8B, 0xC5, 0x48, 0x8B, 0xAC, 0x24, 0x80, 0x01, 0x00, 0x00, 0x48,
0x81, 0xC4, 0x58, 0x01, 0x00, 0x00, 0x41, 0x5E, 0x5E, 0xC3, 0xCC, 0xCC, 0xCC, 0xCC, 0xCC, 0xCC,
0x4C, 0x89, 0x44, 0x24, 0x18, 0x48, 0x89, 0x54, 0x24, 0x10, 0x53, 0x55, 0x56, 0x57, 0x41, 0x54,
0x41, 0x55, 0x41, 0x56, 0x41, 0x57, 0x48, 0x83, 0xEC, 0x68, 0x33, 0xFF, 0xB8, 0x4D, 0x5A, 0x00,
0x00, 0x4C, 0x8B, 0xF9, 0x49, 0x89, 0x38, 0x89, 0xBC, 0x24, 0xB0, 0x00, 0x00, 0x00, 0x66, 0x39,
0x01, 0x0F, 0x85, 0xA6, 0x00, 0x00, 0x00, 0x4C, 0x63, 0x49, 0x3C, 0x4C, 0x03, 0xC9, 0x41, 0x81,
0x39, 0x50, 0x45, 0x00, 0x00, 0x0F, 0x85, 0x92, 0x00, 0x00, 0x00, 0xB9, 0x78, 0x00, 0x00, 0x00,
0xBA, 0x0B, 0x02, 0x00, 0x00, 0x66, 0x41, 0x39, 0x51, 0x18, 0xB8, 0x88, 0x00, 0x00, 0x00, 0x8B,
0xEF, 0x0F, 0x45, 0xC1, 0x42, 0x8B, 0x0C, 0x08, 0x42, 0x8B, 0x44, 0x08, 0x04, 0x4D, 0x8D, 0x2C,
0x0F, 0x45, 0x8B, 0x65, 0x20, 0x41, 0x8B, 0x75, 0x18, 0x4D, 0x03, 0xE7, 0x89, 0x44, 0x24, 0x20,
0x41, 0x8B, 0x45, 0x1C, 0x49, 0x03, 0xC7, 0x89, 0x8C, 0x24, 0xC8, 0x00, 0x00, 0x00, 0x48, 0x89,
0x44, 0x24, 0x30, 0x41, 0x8B, 0x45, 0x24, 0x49, 0x03, 0xC7, 0x83, 0xEE, 0x01, 0x48, 0x89, 0x44,
0x24, 0x28, 0x78, 0x39, 0x0F, 0x1F, 0x40, 0x00, 0x0F, 0x1F, 0x84, 0x00, 0x00, 0x00, 0x00, 0x00,
0x8D, 0x1C, 0x2E, 0xD1, 0xFB, 0x48, 0x8D, 0x0D, 0x8C, 0x23, 0x00, 0x00, 0x4C, 0x63, 0xF3, 0x43,
0x8B, 0x14, 0xB4, 0x49, 0x03, 0xD7, 0xE8, 0xCD, 0x12, 0x00, 0x00, 0x85, 0xC0, 0x79, 0x05, 0x8D,
0x73, 0xFF, 0xEB, 0x05, 0x7E, 0x1A, 0x8D, 0x6B, 0x01, 0x3B, 0xF5, 0x7D, 0xD3, 0x33, 0xC0, 0x48,
0x83, 0xC4, 0x68, 0x41, 0x5F, 0x41, 0x5E, 0x41, 0x5D, 0x41, 0x5C, 0x5F, 0x5E, 0x5D, 0x5B, 0xC3,
0x3B, 0xF5, 0x7C, 0xE9, 0x41, 0x3B, 0x5D, 0x14, 0x7D, 0xE3, 0x0F, 0xAE, 0xE8, 0x48, 0x8B, 0x44,
0x24, 0x28, 0x48, 0x8B, 0x4C, 0x24, 0x30, 0x42, 0x0F, 0xB7, 0x04, 0x70, 0x8B, 0x0C, 0x81, 0x8B,
0x84, 0x24, 0xC8, 0x00, 0x00, 0x00, 0x3B, 0xC8, 0x72, 0x08, 0x03, 0x44, 0x24, 0x20, 0x3B, 0xC8,
0x72, 0xBB, 0x4C, 0x8B, 0xF1, 0x4D, 0x03, 0xF7, 0x74, 0xB3, 0x65, 0x48, 0x8B, 0x04, 0x25, 0x30,
0x00, 0x00, 0x00, 0x8B, 0xDF, 0x48, 0x8B, 0x48, 0x60, 0xB8, 0xAB, 0x3F, 0x00, 0x00, 0x66, 0x39,
0x81, 0x20, 0x01, 0x00, 0x00, 0x72, 0x49, 0x8B, 0xF7, 0x0F, 0x1F, 0x80, 0x00, 0x00, 0x00, 0x00,
0x8D, 0x46, 0x01, 0x8B, 0xCB, 0x49, 0x03, 0xCE, 0x80, 0x39, 0xE8, 0x0F, 0x45, 0xC6, 0x8B, 0xF0,
0x83, 0xF8, 0x01, 0x77, 0x5A, 0x48, 0x8D, 0x54, 0x24, 0x38, 0xE8, 0x71, 0xF0, 0xFF, 0xFF, 0xF7,
0x44, 0x24, 0x59, 0x00, 0x10, 0x00, 0x00, 0x75, 0x50, 0x0F, 0xB6, 0x44, 0x24, 0x38, 0x03, 0xD8,
0x81, 0xFB, 0x00, 0x01, 0x00, 0x00, 0x72, 0xC8, 0xEB, 0x3F, 0x66, 0x0F, 0x1F, 0x44, 0x00, 0x00,
0x8B, 0xCB, 0x49, 0x03, 0xCE, 0x80, 0x39, 0xE9, 0x74, 0x25, 0x48, 0x8D, 0x54, 0x24, 0x38, 0xE8,
0x3C, 0xF0, 0xFF, 0xFF, 0xF7, 0x44, 0x24, 0x59, 0x00, 0x10, 0x00, 0x00, 0x75, 0x1B, 0x0F, 0xB6,
0x44, 0x24, 0x38, 0x03, 0xD8, 0x81, 0xFB, 0x00, 0x01, 0x00, 0x00, 0x72, 0xD3, 0xEB, 0x0A, 0x8B,
0x41, 0x01, 0x89, 0x84, 0x24, 0xB0, 0x00, 0x00, 0x00, 0x48, 0x63, 0x8C, 0x24, 0xB0, 0x00, 0x00,
0x00, 0x49, 0x03, 0xDE, 0x48, 0x83, 0xC1, 0x05, 0xBE, 0x89, 0x0D, 0x00, 0x00, 0x48, 0x03, 0xD9,
0x8B, 0xCF, 0x48, 0x03, 0xCB, 0x66, 0x39, 0x31, 0x74, 0x57, 0x48, 0x8D, 0x54, 0x24, 0x38, 0xE8,
0xEC, 0xEF, 0xFF, 0xFF, 0xF7, 0x44, 0x24, 0x59, 0x00, 0x10, 0x00, 0x00, 0x75, 0x0F, 0x0F, 0xB6,
0x44, 0x24, 0x38, 0x03, 0xF8, 0x81, 0xFF, 0x00, 0x01, 0x00, 0x00, 0x72, 0xD3, 0x8B, 0x84, 0x24,
0xB0, 0x00, 0x00, 0x00, 0x48, 0x63, 0xC8, 0x8B, 0xD7, 0x48, 0x03, 0xD1, 0x48, 0x8B, 0x8C, 0x24,
0xB8, 0x00, 0x00, 0x00, 0x49, 0x2B, 0xD7, 0x48, 0x83, 0xC1, 0x06, 0x48, 0x03, 0xD3, 0x48, 0x03,
0xCA, 0x48, 0x8B, 0x94, 0x24, 0xC0, 0x00, 0x00, 0x00, 0x48, 0x89, 0x0A, 0xE9, 0x9E, 0xFE, 0xFF,
